Speed,Strength,Lightning,Wind,Water,Fire,summ
"9,00","8,46","0,03","5,43","7,50","5,77","36,19"
"3,31","5,06","7,21","5,11","4,25","6,60","31,54"
"7,76","0,15","3,30","5,38","2,39","7,94","26,92"
"5,98","5,33","6,99","4,66","8,71","8,43","40,10"
"8,34","0,03","7,22","4,50","4,64","7,24","31,97"
"3,22","7,11","6,84","8,52","8,54","2,69","36,92"
"8,36","6,59","1,76","3,39","1,66","7,47","29,23"
"8,61","5,07","8,16","7,99","5,82","2,71","38,36"
"6,75","0,74","2,58","8,41","8,22","4,22","30,92"
"2,57","6,83","0,68","0,05","0,38","7,39","17,90"
"0,61","6,31","0,17","8,42","6,18","1,61","23,30"
"8,07","4,55","8,78","0,22","7,45","5,75","34,82"
"5,74","8,08","2,83","0,76","7,63","6,75","31,79"
"6,50","6,72","4,00","3,24","6,82","2,05","29,33"
"8,97","5,20","0,68","2,52","7,26","1,86","26,49"
"3,32","5,87","0,57","8,30","4,14","4,44","26,64"
"7,45","6,99","6,68","3,29","4,60","5,45","34,46"
"0,67","6,24","0,14","7,09","0,13","7,32","21,59"
"1,55","0,01","4,41","1,31","1,84","2,30","11,42"
"8,56","2,16","8,83","8,37","1,04","5,51","34,47"
"2,57","5,72","5,00","5,74","3,82","4,64","27,49"
"8,52","3,58","2,94","6,18","4,31","3,89","29,42"
"3,44","8,98","3,77","2,08","1,62","2,83","22,72"
"4,22","8,71","4,67","3,53","7,16","8,97","37,26"
"5,22","4,70","1,80","5,87","8,73","5,33","31,65"
"5,62","3,51","6,08","2,62","1,77","1,11","20,71"
"7,38","0,48","7,09","6,14","5,81","3,22","30,12"
"5,19","2,34","7,91","5,16","2,51","0,23","23,34"
"8,14","0,59","4,90","7,17","8,54","8,82","38,16"
"5,07","5,44","7,56","3,54","0,00","7,69","29,30"
"2,52","4,96","5,97","1,01","4,59","4,69","23,74"
"3,60","7,09","2,47","3,99","3,96","0,32","21,43"
"1,01","3,13","1,48","4,11","7,95","7,78","25,46"
"7,18","6,51","3,12","0,44","0,26","5,32","22,83"
"6,52","4,44","3,48","5,55","0,98","4,52","25,49"
"0,86","5,54","0,65","6,47","1,94","2,06","17,52"
"6,79","8,33","3,23","6,04","2,53","6,19","33,11"
"1,62","6,50","2,05","4,93","1,66","6,01","22,77"
"1,70","8,97","7,18","7,70","5,00","2,39","32,94"
"3,07","6,88","6,39","8,16","0,04","3,72","28,26"
"1,61","7,79","8,99","0,63","0,15","8,83","28,00"
"8,01","1,63","3,72","7,94","0,34","8,97","30,61"
"8,26","3,05","0,44","2,83","5,31","7,43","27,32"
"0,05","8,21","3,77","2,89","2,36","8,91","26,19"
"5,18","6,42","3,06","1,72","8,04","1,17","25,59"
"4,87","0,76","8,86","6,19","0,71","2,19","23,58"
"1,37","5,52","1,83","0,99","6,48","1,24","17,43"
"0,44","2,27","0,54","4,01","3,41","0,49","11,16"
"1,46","4,73","2,15","4,26","2,23","3,01","17,84"
"0,72","0,42","8,98","0,05","1,45","3,96","15,58"
"6,41","4,97","4,69","1,07","7,34","0,99","25,47"
"6,89","3,18","0,67","8,55","4,93","1,51","25,73"
"4,10","3,59","8,50","2,37","1,06","3,85","23,47"
"7,00","3,77","3,98","8,66","3,03","8,97","35,41"
"8,03","0,68","4,54","6,75","8,49","1,05","29,54"
"0,07","4,78","6,03","4,69","5,03","4,14","24,74"
"4,05","0,13","3,17","1,43","2,13","6,46","17,37"
"5,90","3,23","6,72","0,82","1,63","3,90","22,20"
"5,90","3,88","3,30","3,40","1,96","3,55","21,99"
"6,91","1,91","1,12","0,15","5,87","5,31","21,27"
"5,34","2,61","4,24","7,35","0,31","2,03","21,88"
"3,31","3,37","1,27","4,17","5,39","2,12","19,63"
"7,03","0,16","6,55","6,25","3,16","6,10","29,25"
"5,08","7,08","7,01","1,53","1,69","7,40","29,79"
"2,18","0,15","8,79","8,87","7,15","2,34","29,48"
"4,44","5,90","2,27","0,76","6,34","3,16","22,87"
"2,20","0,85","4,75","0,06","8,99","4,37","21,22"
"3,12","5,73","3,02","7,77","6,00","8,83","34,47"
"3,74","4,18","8,35","2,07","2,54","2,20","23,08"
"2,56","1,03","0,23","2,70","0,57","7,05","14,14"
"8,16","8,47","7,77","6,74","2,64","3,71","37,49"
"4,92","6,72","8,88","7,85","6,64","1,21","36,22"
"3,88","3,81","7,19","0,45","2,28","6,55","24,16"
"1,90","1,93","0,18","2,52","0,55","8,85","15,93"
"3,71","6,82","2,79","7,91","5,56","4,31","31,10"
"5,40","2,75","1,64","8,64","5,28","1,84","25,55"
"6,89","2,42","3,09","6,94","0,48","7,43","27,25"
"8,35","8,98","1,68","6,96","1,63","5,17","32,77"
"7,39","8,11","7,41","4,61","7,27","7,58","42,37"
"0,93","7,74","6,41","1,43","6,90","4,44","27,85"
"2,56","6,44","8,92","8,70","5,75","8,19","40,56"
"5,61","2,61","2,22","7,64","4,51","6,78","29,37"
"3,46","1,08","0,21","1,63","2,12","1,68","10,18"
"4,99","0,34","0,41","6,77","4,32","6,77","23,60"
"8,11","8,16","2,44","8,88","4,98","6,33","38,90"
"2,46","6,45","8,33","4,42","7,81","4,69","34,16"
"2,20","1,57","0,31","1,95","7,92","1,83","15,78"
"1,31","6,79","8,34","7,40","1,78","6,79","32,41"
"6,59","2,35","8,64","1,22","3,86","6,78","29,44"
"1,01","7,35","6,70","3,23","5,84","2,42","26,55"
"6,15","2,61","7,40","3,08","0,67","2,97","22,88"
"7,91","5,04","0,37","3,73","8,76","4,09","29,90"
"3,16","6,66","4,80","8,08","0,22","6,61","29,53"
"6,07","4,40","0,87","2,77","8,65","7,96","30,72"
"0,98","3,35","7,07","2,67","1,46","6,63","22,16"
"8,31","5,25","4,56","2,81","5,69","6,90","33,52"
"9,00","8,42","0,27","7,48","2,73","6,82","34,72"
"7,95","1,77","6,46","2,86","0,81","7,70","27,55"
"6,72","7,94","6,27","4,78","1,07","8,03","34,81"
"3,55","4,51","6,62","7,54","3,14","4,55","29,91"
"3,38","3,73","2,91","8,98","0,05","6,53","25,58"
"7,49","1,29","0,04","2,54","2,38","4,33","18,07"
"1,55","6,50","6,27","3,10","6,39","2,01","25,82"
"1,63","3,19","8,11","1,86","8,45","7,29","30,53"
"7,90","1,27","7,39","0,75","4,04","6,58","27,93"
"0,61","6,03","5,53","7,26","0,95","0,73","21,11"
"1,24","8,04","6,98","5,98","2,76","7,79","32,79"
"6,59","7,93","4,30","0,93","1,97","7,21","28,93"
"6,33","6,79","4,93","1,26","2,59","0,32","22,22"
"6,33","2,38","3,54","1,00","5,13","4,01","22,39"
"2,72","2,56","1,05","6,89","0,77","8,56","22,55"
"4,19","2,94","2,20","2,83","4,59","1,33","18,08"
"0,14","2,11","0,38","3,24","2,61","5,13","13,61"
"4,23","6,77","6,52","3,20","7,68","8,01","36,41"
